Date,Close,Next_Close,Delta_Percent,Actual_Label,Predicted_Label,Correct
2023-01-05,122.9335403,127.4567566,3.6793996894271506,UP,UP,True
2023-01-10,128.5482635,131.2621765,2.1112016032795493,UP,UP,True
2023-01-20,135.5691071,138.7550354,2.350040040943812,UP,UP,True
2023-01-27,143.4945831,140.6134644,-2.007824015204935,DOWN,UP,False
2023-02-01,143.0028839,148.303009,3.706306443236704,UP,UP,True
2023-02-02,148.303009,151.9215698,2.4399780047618473,UP,UP,True
2023-02-17,150.2331696,146.2249603,-2.6679922354510484,DOWN,DOWN,True
2023-03-02,143.6939697,148.7361908,3.5089997934687207,UP,UP,True
2023-04-12,157.6685028,163.0455627,3.4103576836907763,UP,UP,True
2023-04-26,161.2728729,165.8522797,2.8395394201475694,UP,DOWN,False
2023-05-04,163.2720795,170.9338989,4.692669698005539,UP,DOWN,False
2023-06-29,186.9688263,191.2883148,2.3102720306267472,UP,UP,True
2023-08-03,188.5269928,179.473938,-4.801993956167313,DOWN,UP,False
2023-08-22,175.0157318,178.8571472,2.1948972018068704,UP,UP,True
2023-08-23,178.8571472,174.1763611,-2.6170528677648535,DOWN,DOWN,True
2023-08-28,177.9387665,181.8196564,2.1810255158759904,UP,UP,True
2023-09-05,187.3299255,180.6247711,-3.579329027171368,DOWN,DOWN,True
2023-09-06,180.6247711,175.3416443,-2.924918198000136,DOWN,DOWN,True
2023-09-25,173.8801117,169.8115692,-2.339855007120966,DOWN,DOWN,True
2023-10-25,168.9623108,164.8049316,-2.460536423960892,DOWN,DOWN,True
2023-11-01,171.796463,175.3515015,2.0693316020132633,UP,UP,True
2023-11-09,180.1310272,184.3136902,2.322011407482825,UP,UP,True
2023-12-04,187.3097534,191.2550964,2.106320107941591,UP,UP,True
2023-12-29,190.3750763,183.5622101,-3.5786544816738717,DOWN,DOWN,True
2024-01-05,179.1520996,183.4831085,2.41750384710533,UP,DOWN,False
2024-01-17,180.6352997,186.5187225,3.2570725709599526,UP,UP,True
