Date,Close,Next_Close,Predicted_Next_Close,Error_Percent,Within_2_Percent
2023-01-03,122.9827118,124.2511978,123.2189332685299,0.8307883945969532,True
2023-01-04,124.2511978,122.9335403,125.03677841902919,1.7108741144984219,True
2023-01-05,122.9335403,127.4567566,123.70365241390618,2.9446098317661265,False
2023-01-06,127.4567566,127.9779053,127.81345042885798,0.12850254952721674,True
2023-01-09,127.9779053,128.5482635,128.61392056354342,0.051075807448325725,True
2023-01-10,128.5482635,131.2621765,128.43230810086624,2.1558901997436957,False
2023-01-11,131.2621765,131.1835327,131.4427568851942,0.19760421133574124,True
2023-01-12,131.1835327,132.5109711,131.18602441626618,0.9998769707407476,True
2023-01-13,132.5109711,133.6712952,132.85412919338353,0.6113249709998133,True
2023-01-17,133.6712952,132.9535217,134.13372568623168,0.8876816282420255,True
2023-01-18,132.9535217,133.0124969,133.5376498101017,0.3948147146628713,True
2023-01-19,133.0124969,135.5691071,133.64836788731694,1.416797125665409,True
2023-01-20,135.5691071,138.7550354,135.81567858612834,2.118378482912812,False
2023-01-23,138.7550354,140.1513367,139.2017485434031,0.6775448447056364,True
2023-01-24,140.1513367,139.4925232,140.3449077308001,0.6110610886133102,True
2023-01-25,139.4925232,141.5574799,139.22469363339286,1.6479427779126095,True
2023-01-26,141.5574799,143.4945831,141.38746484826197,1.4684305192688696,True
2023-01-27,143.4945831,140.6134644,143.82295583077635,2.2824922524107536,False
2023-01-30,140.6134644,141.8819427,140.81911428149172,0.749093505687017,True
2023-01-31,141.8819427,143.0028839,142.20450107664144,0.5582984074061498,True
2023-02-01,143.0028839,148.303009,142.67828016927618,3.792727382034322,False
2023-02-02,148.303009,151.9215698,148.50186779835653,2.2509654199501683,False
2023-02-03,151.9215698,149.1977692,152.40477554961598,2.1495002015190763,False
2023-02-06,149.1977692,152.0690613,148.90829818201254,2.0785050495918616,False
2023-02-07,152.0690613,149.3846283,152.19585690632695,1.8818727457562308,True
2023-02-08,149.3846283,148.3521576,149.2136033525285,0.5806762547068681,True
2023-02-09,148.3521576,148.7165222,148.0963204805552,0.4170361909154581,True
2023-02-10,148.7165222,151.5134125,148.8981154192888,1.7261158847644416,True
2023-02-13,151.5134125,150.8732452,151.42462341875552,0.3654579166933053,True
2023-02-14,150.8732452,152.9709015,150.38133334796356,1.6928501608107702,True
2023-02-15,152.9709015,151.3755035,152.6089964615455,0.8148563889305207,True
2023-02-16,151.3755035,150.2331696,151.60724351764844,0.9146275228745792,True
2023-02-17,150.2331696,146.2249603,149.93655758791166,2.5382788822762103,False
2023-02-21,146.2249603,146.6484528,146.49453149652308,0.10495937770774794,True
2023-02-22,146.6484528,147.1309967,146.53298766010556,0.4064466722221528,True
2023-02-23,147.1309967,144.481842,146.35166827045703,1.2941600443168668,True
2023-02-24,144.481842,145.6734467,144.3321354948161,0.9207657507728204,True
2023-02-27,145.6734467,145.1712189,145.5614067478302,0.26877768939790236,True
2023-02-28,145.1712189,143.1031036,145.21626238196495,1.4766687296116445,True
2023-03-01,143.1031036,143.6939697,142.96096769873026,0.5101132655741077,True
2023-03-02,143.6939697,148.7361908,143.63492519586228,3.429740654712076,False
2023-03-03,148.7361908,151.4937286,148.24155585119735,2.146737544093063,False
2023-03-06,151.4937286,149.2975616,151.46583591175693,1.4523172974292782,True
2023-03-07,149.2975616,150.5482635,148.60437770233742,1.291204396829575,True
2023-03-08,150.5482635,148.3029175,150.14231892728068,1.2403002302909363,True
2023-03-09,148.3029175,146.2446442,147.95295525180632,1.1681187103645776,True
2023-03-10,146.2446442,148.1847229,146.3266613800475,1.2538819681205382,True
